genre,playlist_name,playlist_id,track_name,artists,track_id,album,album_release,popularity,duration_ms
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,5 Seconds,Sawyer Nunes,7rKFMpLkIXurdJS0wxMiPv,Songs I Wrote in My Room,2016-11-12,10,190217
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,We Should Be Friends,Josh Ramsay,4KdP02yu7ipuQNR1iMmYAT,We Should Be Friends,2018-04-27,0,180516
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,Location,Khalid,152lZdxL1OR0ZMW6KquMif,American Teen,2017-04-27,77,219080
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,first day of my life (feat. goody grace),"gnash, Goody Grace",0KuV1Lu0SFNGwlfNGPiRqb,us,2016-03-25,32,189361
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,Good Things Fall Apart (with Jon Bellion),"ILLENIUM, Jon Bellion",6pooRNiLyYpxZeIA5kJ5EX,Good Things Fall Apart (with Jon Bellion),2019-05-13,56,216668
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,The Other Side,Conan Gray,2mAy8zQhZJICLFUEVGQzbE,The Other Side,2019-02-08,55,172933
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,1980s Horror Film,Wallows,3HkrEKcOPMBmUemERvy8pq,Spring EP,2018-04-06,47,224226
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,Idle Town,Conan Gray,0cXRafInOlc1QH519RXltN,Sunset Season,2018-11-16,55,237920
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,Poetry,WRABEL,6F84CqAnWGg6CZiWFNDuQ9,We Could Be Beautiful,2017-05-12,41,249813
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,Make You Mine - Acoustic,PUBLIC,65Ki57yTO2fXdtKPOaS15n,Make You Mine,2019-08-09,50,209093
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,Coffee Breath,Sofia Mills,2I9zHCCeKJRKMgJ6UJFN9W,Coffee Breath,2018-03-08,0,163902
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,Sunflower,Rex Orange County,4EpZ4eYuZOwPSSwyqpdHnJ,Sunflower,2017-03-22,1,252230
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,Lover Is a Day,Cuco,76tGvMdmFKuiMew33ZNNA9,wannabewithu,2016-07-09,1,456000
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,Medicine,khai dreams,48DjuKXrzrQ8CzoAUC6HeT,Medicine,2017-01-31,0,121547
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,I Will Be Okay,mimi bay,2SGaKM9YuBID0wgDD4VbPx,I Will Be Okay,2017-08-10,0,125200
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),2019-10-17,74,208687
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,BLUE,"Troye Sivan, Alex Hope",2pmO8V5TEDZqsrcaxSucpj,Blue Neighbourhood (Deluxe),2015-12-04,43,211816
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,Throwaway (with Clairo),"SG Lewis, Clairo",3TTWpDAiJfyoJDd5v2F8C3,Throwaway (with Clairo),2019-03-20,0,180000
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,yellow is the color of her eyes,Soccer Mommy,4D3nttJPU6L0M2epr7sId6,yellow is the color of her eyes,2019-11-19,0,435080
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,spring fling?,Samuel Marklee,0n6YhLLHVs1pusYPuUwXkt,Teenage Love.,2019-09-12,0,234821
c,Chill☀️,5MC3wgerUutuCjkIhO3dlG,hello!,ROLE MODEL,7a2IJHzw9WJjoknwdnCop0,"oh, how perfect",2019-11-13,52,188546
